Unloaded module: latex/TeXLive12
Loaded module: python3/3.6.2
c1=-5, c2=-20, d=-20, lambda=0.01

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=0.1

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=1

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=10

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=100

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-15, lambda=0.01

 Train: 0.7661138771303054 Validation: 0.7424498187920607

c1=-5, c2=-20, d=-15, lambda=0.1

 Train: 0.7661138771303025 Validation: 0.7424498187920578

c1=-5, c2=-20, d=-15, lambda=1

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-15, lambda=10

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-15, lambda=100

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-10, lambda=0.01

 Train: 0.7661138669753323 Validation: 0.7424498083778336

c1=-5, c2=-20, d=-10, lambda=0.1

 Train: 0.7661138761148052 Validation: 0.7424498177506351

c1=-5, c2=-20, d=-10, lambda=1

 Train: 0.7661138770287526 Validation: 0.7424498186879153

c1=-5, c2=-20, d=-10, lambda=10

 Train: 0.7661138771201473 Validation: 0.7424498187816433

c1=-5, c2=-20, d=-10, lambda=100

 Train: 0.7661138771292868 Validation: 0.7424498187910161

c1=-5, c2=-20, d=-5, lambda=0.01

 Train: 0.8030697737389834 Validation: 0.7802894088525137

c1=-5, c2=-20, d=-5, lambda=0.1

 Train: 0.7694281056372082 Validation: 0.7458466207447682

c1=-5, c2=-20, d=-5, lambda=1

 Train: 0.7664418636497182 Validation: 0.742786007514724

c1=-5, c2=-20, d=-5, lambda=10

 Train: 0.7661466417607949 Validation: 0.7424834030942151

c1=-5, c2=-20, d=-5, lambda=100

 Train: 0.7661171532534756 Validation: 0.7424531768769136

c1=-5, c2=-20, d=0, lambda=0.01

 Train: 0.5555076189496058 Validation: 0.5264812471594592

c1=-5, c2=-20, d=0, lambda=0.1

 Train: 0.555507619240874 Validation: 0.5264811217352311

c1=-5, c2=-20, d=0, lambda=1

 Train: 0.5555076483495623 Validation: 0.5264798955628145

c1=-5, c2=-20, d=0, lambda=10

 Train: 0.5555105411811626 Validation: 0.5264704214376545

c1=-5, c2=-20, d=0, lambda=100

 Train: 0.5557826060971731 Validation: 0.5266363806973965

c1=-5, c2=-20, d=5, lambda=0.01

 Train: 0.076088257866202 Validation: 0.288724194315874

c1=-5, c2=-20, d=5, lambda=0.1

 Train: 0.07608825781472284 Validation: 0.2887244583530091

c1=-5, c2=-20, d=5, lambda=1

 Train: 0.0760882578143408 Validation: 0.2887244680856626

c1=-5, c2=-20, d=5, lambda=10

